i,price,dP,A,D,S,prevA,prevD,prevS,split
145,109,0,0,0,0,1,1,1,train
146,111,2,1,1,2,0,0,0,train
147,109,-2,1,-1,2,1,1,2,train
148,109,0,0,0,0,1,-1,2,train
149,109,0,0,0,0,0,0,0,train
150,108,-1,1,-1,1,0,0,0,train
151,109,1,1,1,1,1,-1,1,train
152,109,0,0,0,0,1,1,1,train
153,110,1,1,1,1,0,0,0,train
154,110,0,0,0,0,1,1,1,train
155,108,-2,1,-1,2,0,0,0,train
156,107,-1,1,-1,1,1,-1,2,train
157,110,3,1,1,3,1,-1,1,train
158,109,-1,1,-1,1,1,1,3,train
159,110,1,1,1,1,1,-1,1,train
160,112,2,1,1,2,1,1,1,train
161,111,-1,1,-1,1,1,1,2,train
162,112,1,1,1,1,1,-1,1,train
163,110,-2,1,-1,2,1,1,1,train
164,109,-1,1,-1,1,1,-1,2,train
165,109,0,0,0,0,1,-1,1,train
166,110,1,1,1,1,0,0,0,train
167,110,0,0,0,0,1,1,1,train
168,109,-1,1,-1,1,0,0,0,train
169,109,0,0,0,0,1,-1,1,train
170,108,-1,1,-1,1,0,0,0,train
171,108,0,0,0,0,1,-1,1,train
172,111,3,1,1,3,0,0,0,train
173,112,1,1,1,1,1,1,3,train
174,113,1,1,1,1,1,1,1,train
175,113,0,0,0,0,1,1,1,train
176,113,0,0,0,0,0,0,0,train
177,112,-1,1,-1,1,0,0,0,train
178,112,0,0,0,0,1,-1,1,train
179,111,-1,1,-1,1,0,0,0,train
180,113,2,1,1,2,1,-1,1,train
181,112,-1,1,-1,1,1,1,2,train
182,112,0,0,0,0,1,-1,1,train
183,112,0,0,0,0,0,0,0,train
184,112,0,0,0,0,0,0,0,train
185,113,1,1,1,1,0,0,0,train
186,107,-6,1,-1,6,1,1,1,train
187,107,0,0,0,0,1,-1,6,train
188,105,-2,1,-1,2,0,0,0,train
189,105,0,0,0,0,1,-1,2,train
190,103,-2,1,-1,2,0,0,0,train
191,107,4,1,1,4,1,-1,2,train
192,107,0,0,0,0,1,1,4,train
193,107,0,0,0,0,0,0,0,train
194,107,0,0,0,0,0,0,0,train
195,108,1,1,1,1,0,0,0,train
196,106,-2,1,-1,2,1,1,1,train
197,105,-1,1,-1,1,1,-1,2,train
198,106,1,1,1,1,1,-1,1,train
199,106,0,0,0,0,1,1,1,train
200,108,2,1,1,2,0,0,0,train
201,109,1,1,1,1,1,1,2,train
202,108,-1,1,-1,1,1,1,1,train
203,109,1,1,1,1,1,-1,1,train
204,108,-1,1,-1,1,1,1,1,train
205,109,1,1,1,1,1,-1,1,train
206,106,-3,1,-1,3,1,1,1,train
207,109,3,1,1,3,1,-1,3,train
208,110,1,1,1,1,1,1,3,train
209,109,-1,1,-1,1,1,1,1,train
210,109,0,0,0,0,1,-1,1,train
211,110,1,1,1,1,0,0,0,train
212,111,1,1,1,1,1,1,1,train
213,110,-1,1,-1,1,1,1,1,train
214,111,1,1,1,1,1,-1,1,train
215,111,0,0,0,0,1,1,1,train
216,111,0,0,0,0,0,0,0,train
217,111,0,0,0,0,0,0,0,train
218,112,1,1,1,1,0,0,0,train
219,113,1,1,1,1,1,1,1,train
220,112,-1,1,-1,1,1,1,1,train
221,112,0,0,0,0,1,-1,1,train
222,112,0,0,0,0,0,0,0,train
223,111,-1,1,-1,1,0,0,0,train
224,111,0,0,0,0,1,-1,1,train
225,111,0,0,0,0,0,0,0,train
226,107,-4,1,-1,4,0,0,0,train
227,107,0,0,0,0,1,-1,4,train
228,107,0,0,0,0,0,0,0,train
229,109,2,1,1,2,0,0,0,train
230,108,-1,1,-1,1,1,1,2,train
231,110,2,1,1,2,1,-1,1,train
232,107,-3,1,-1,3,1,1,2,train
233,108,1,1,1,1,1,-1,3,train
234,108,0,0,0,0,1,1,1,train
235,108,0,0,0,0,0,0,0,train
236,109,1,1,1,1,0,0,0,train
237,107,-2,1,-1,2,1,1,1,train
238,106,-1,1,-1,1,1,-1,2,train
239,106,0,0,0,0,1,-1,1,train
240,103,-3,1,-1,3,0,0,0,train
241,97,-6,1,-1,6,1,-1,3,train
242,99,2,1,1,2,1,-1,6,train
243,100,1,1,1,1,1,1,2,train
244,100,0,0,0,0,1,1,1,train
245,102,2,1,1,2,0,0,0,train
246,101,-1,1,-1,1,1,1,2,train
247,101,0,0,0,0,1,-1,1,train
248,101,0,0,0,0,0,0,0,train
249,100,-1,1,-1,1,0,0,0,train
250,102,2,1,1,2,1,-1,1,train
251,103,1,1,1,1,1,1,2,train
252,102,-1,1,-1,1,1,1,1,train
253,103,1,1,1,1,1,-1,1,train
254,102,-1,1,-1,1,1,1,1,train
255,103,1,1,1,1,1,-1,1,train
256,102,-1,1,-1,1,1,1,1,train
257,103,1,1,1,1,1,-1,1,train
258,102,-1,1,-1,1,1,1,1,train
259,99,-3,1,-1,3,1,-1,1,train
260,101,2,1,1,2,1,-1,3,train
261,99,-2,1,-1,2,1,1,2,train
262,99,0,0,0,0,1,-1,2,train
263,99,0,0,0,0,0,0,0,train
264,100,1,1,1,1,0,0,0,train
265,95,-5,1,-1,5,1,1,1,train
266,98,3,1,1,3,1,-1,5,train
267,93,-5,1,-1,5,1,1,3,train
268,94,1,1,1,1,1,-1,5,train
269,94,0,0,0,0,1,1,1,train
270,93,-1,1,-1,1,0,0,0,train
271,92,-1,1,-1,1,1,-1,1,train
272,92,0,0,0,0,1,-1,1,train
273,90,-2,1,-1,2,0,0,0,train
274,92,2,1,1,2,1,-1,2,train
275,87,-5,1,-1,5,1,1,2,train
276,88,1,1,1,1,1,-1,5,train
277,89,1,1,1,1,1,1,1,train
278,88,-1,1,-1,1,1,1,1,train
279,90,2,1,1,2,1,-1,1,train
280,87,-3,1,-1,3,1,1,2,train
281,90,3,1,1,3,1,-1,3,train
282,91,1,1,1,1,1,1,3,train
283,93,2,1,1,2,1,1,1,train
284,89,-4,1,-1,4,1,1,2,train
285,87,-2,1,-1,2,1,-1,4,train
286,87,0,0,0,0,1,-1,2,train
287,88,1,1,1,1,0,0,0,train
288,89,1,1,1,1,1,1,1,train
289,88,-1,1,-1,1,1,1,1,train
290,89,1,1,1,1,1,-1,1,train
291,90,1,1,1,1,1,1,1,train
292,89,-1,1,-1,1,1,1,1,train
293,90,1,1,1,1,1,-1,1,train
294,92,2,1,1,2,1,1,1,train
295,92,0,0,0,0,1,1,2,train
296,92,0,0,0,0,0,0,0,train
297,91,-1,1,-1,1,0,0,0,train
298,91,0,0,0,0,1,-1,1,train
299,91,0,0,0,0,0,0,0,train
300,91,0,0,0,0,0,0,0,train
301,91,0,0,0,0,0,0,0,train
302,89,-2,1,-1,2,0,0,0,train
303,88,-1,1,-1,1,1,-1,2,train
304,88,0,0,0,0,1,-1,1,train
305,88,0,0,0,0,0,0,0,train
306,87,-1,1,-1,1,0,0,0,train
307,87,0,0,0,0,1,-1,1,train
308,87,0,0,0,0,0,0,0,train
309,87,0,0,0,0,0,0,0,train
310,87,0,0,0,0,0,0,0,train
311,88,1,1,1,1,0,0,0,train
312,87,-1,1,-1,1,1,1,1,train
313,89,2,1,1,2,1,-1,1,train
314,88,-1,1,-1,1,1,1,2,train
315,89,1,1,1,1,1,-1,1,train
316,88,-1,1,-1,1,1,1,1,train
317,89,1,1,1,1,1,-1,1,train
318,89,0,0,0,0,1,1,1,train
319,87,-2,1,-1,2,0,0,0,train
320,87,0,0,0,0,1,-1,2,train
321,87,0,0,0,0,0,0,0,train
322,86,-1,1,-1,1,0,0,0,train
323,86,0,0,0,0,1,-1,1,train
324,86,0,0,0,0,0,0,0,train
325,85,-1,1,-1,1,0,0,0,train
326,84,-1,1,-1,1,1,-1,1,train
327,83,-1,1,-1,1,1,-1,1,train
328,84,1,1,1,1,1,-1,1,train
329,81,-3,1,-1,3,1,1,1,train
330,82,1,1,1,1,1,-1,3,train
331,81,-1,1,-1,1,1,1,1,train
332,80,-1,1,-1,1,1,-1,1,train
333,80,0,0,0,0,1,-1,1,train
334,79,-1,1,-1,1,0,0,0,train
335,75,-4,1,-1,4,1,-1,1,train
336,76,1,1,1,1,1,-1,4,train
337,78,2,1,1,2,1,1,1,train
338,77,-1,1,-1,1,1,1,2,train
339,78,1,1,1,1,1,-1,1,train
340,81,3,1,1,3,1,1,1,train
341,81,0,0,0,0,1,1,3,train
342,81,0,0,0,0,0,0,0,train
343,82,1,1,1,1,0,0,0,train
344,83,1,1,1,1,1,1,1,train
345,84,1,1,1,1,1,1,1,train
346,85,1,1,1,1,1,1,1,train
347,84,-1,1,-1,1,1,1,1,train
348,84,0,0,0,0,1,-1,1,train
349,80,-4,1,-1,4,0,0,0,train
350,78,-2,1,-1,2,1,-1,4,train
351,80,2,1,1,2,1,-1,2,train
352,80,0,0,0,0,1,1,2,train
353,81,1,1,1,1,0,0,0,train
354,80,-1,1,-1,1,1,1,1,train
355,80,0,0,0,0,1,-1,1,train
356,80,0,0,0,0,0,0,0,train
357,80,0,0,0,0,0,0,0,train
358,80,0,0,0,0,0,0,0,train
359,80,0,0,0,0,0,0,0,train
360,80,0,0,0,0,0,0,0,train
361,80,0,0,0,0,0,0,0,train
362,79,-1,1,-1,1,0,0,0,train
363,79,0,0,0,0,1,-1,1,train
364,79,0,0,0,0,0,0,0,train
365,80,1,1,1,1,0,0,0,train
366,81,1,1,1,1,1,1,1,train
367,81,0,0,0,0,1,1,1,train
368,81,0,0,0,0,0,0,0,train
369,84,3,1,1,3,0,0,0,train
370,83,-1,1,-1,1,1,1,3,train
371,85,2,1,1,2,1,-1,1,train
372,87,2,1,1,2,1,1,2,train
373,87,0,0,0,0,1,1,2,train
374,87,0,0,0,0,0,0,0,train
375,88,1,1,1,1,0,0,0,train
376,87,-1,1,-1,1,1,1,1,train
377,81,-6,1,-1,6,1,-1,1,train
378,82,1,1,1,1,1,-1,6,train
379,83,1,1,1,1,1,1,1,train
380,83,0,0,0,0,1,1,1,train
381,82,-1,1,-1,1,0,0,0,train
382,83,1,1,1,1,1,-1,1,train
383,82,-1,1,-1,1,1,1,1,train
384,83,1,1,1,1,1,-1,1,train
385,81,-2,1,-1,2,1,1,1,train
386,83,2,1,1,2,1,-1,2,train
387,83,0,0,0,0,1,1,2,train
388,82,-1,1,-1,1,0,0,0,train
389,84,2,1,1,2,1,-1,1,train
390,83,-1,1,-1,1,1,1,2,train
391,83,0,0,0,0,1,-1,1,train
392,83,0,0,0,0,0,0,0,train
393,84,1,1,1,1,0,0,0,train
394,84,0,0,0,0,1,1,1,train
395,83,-1,1,-1,1,0,0,0,train
396,83,0,0,0,0,1,-1,1,train
397,78,-5,1,-1,5,0,0,0,train
398,77,-1,1,-1,1,1,-1,5,train
399,75,-2,1,-1,2,1,-1,1,train
400,76,1,1,1,1,1,-1,2,train
401,75,-1,1,-1,1,1,1,1,train
402,76,1,1,1,1,1,-1,1,train
403,78,2,1,1,2,1,1,1,train
404,80,2,1,1,2,1,1,2,train
405,80,0,0,0,0,1,1,2,train
406,81,1,1,1,1,0,0,0,train
407,76,-5,1,-1,5,1,1,1,train
408,75,-1,1,-1,1,1,-1,5,train
409,74,-1,1,-1,1,1,-1,1,train
410,79,5,1,1,5,1,-1,1,train
411,80,1,1,1,1,1,1,5,train
412,78,-2,1,-1,2,1,1,1,train
413,78,0,0,0,0,1,-1,2,train
414,78,0,0,0,0,0,0,0,train
415,78,0,0,0,0,0,0,0,train
416,77,-1,1,-1,1,0,0,0,train
417,75,-2,1,-1,2,1,-1,1,train
418,75,0,0,0,0,1,-1,2,train
419,74,-1,1,-1,1,0,0,0,train
420,75,1,1,1,1,1,-1,1,train
421,74,-1,1,-1,1,1,1,1,train
422,73,-1,1,-1,1,1,-1,1,train
423,73,0,0,0,0,1,-1,1,train
424,73,0,0,0,0,0,0,0,train
425,72,-1,1,-1,1,0,0,0,train
426,72,0,0,0,0,1,-1,1,train
427,72,0,0,0,0,0,0,0,train
428,72,0,0,0,0,0,0,0,train
429,72,0,0,0,0,0,0,0,train
430,68,-4,1,-1,4,0,0,0,train
431,69,1,1,1,1,1,-1,4,train
432,69,0,0,0,0,1,1,1,train
433,69,0,0,0,0,0,0,0,train
434,70,1,1,1,1,0,0,0,train
435,69,-1,1,-1,1,1,1,1,train
436,70,1,1,1,1,1,-1,1,train
437,68,-2,1,-1,2,1,1,1,train
438,68,0,0,0,0,1,-1,2,train
439,68,0,0,0,0,0,0,0,train
440,67,-1,1,-1,1,0,0,0,train
441,69,2,1,1,2,1,-1,1,train
442,70,1,1,1,1,1,1,2,train
443,68,-2,1,-1,2,1,1,1,train
444,69,1,1,1,1,1,-1,2,train
445,67,-2,1,-1,2,1,1,1,train
446,68,1,1,1,1,1,-1,2,train
447,69,1,1,1,1,1,1,1,train
448,69,0,0,0,0,1,1,1,train
449,70,1,1,1,1,0,0,0,train
450,69,-1,1,-1,1,1,1,1,train
451,69,0,0,0,0,1,-1,1,train
452,69,0,0,0,0,0,0,0,train
453,65,-4,1,-1,4,0,0,0,train
454,68,3,1,1,3,1,-1,4,train
455,68,0,0,0,0,1,1,3,train
456,67,-1,1,-1,1,0,0,0,train
457,67,0,0,0,0,1,-1,1,train
458,68,1,1,1,1,0,0,0,train
459,68,0,0,0,0,1,1,1,train
460,68,0,0,0,0,0,0,0,train
461,71,3,1,1,3,0,0,0,train
462,71,0,0,0,0,1,1,3,train
463,70,-1,1,-1,1,0,0,0,train
464,71,1,1,1,1,1,-1,1,train
465,70,-1,1,-1,1,1,1,1,train
466,71,1,1,1,1,1,-1,1,train
467,70,-1,1,-1,1,1,1,1,train
468,69,-1,1,-1,1,1,-1,1,train
469,69,0,0,0,0,1,-1,1,train
470,69,0,0,0,0,0,0,0,train
471,69,0,0,0,0,0,0,0,train
472,69,0,0,0,0,0,0,0,train
473,69,0,0,0,0,0,0,0,train
474,69,0,0,0,0,0,0,0,train
475,69,0,0,0,0,0,0,0,train
476,68,-1,1,-1,1,0,0,0,train
477,68,0,0,0,0,1,-1,1,train
478,69,1,1,1,1,0,0,0,train
479,68,-1,1,-1,1,1,1,1,train
480,69,1,1,1,1,1,-1,1,train
481,69,0,0,0,0,1,1,1,train
482,70,1,1,1,1,0,0,0,train
483,68,-2,1,-1,2,1,1,1,train
484,68,0,0,0,0,1,-1,2,train
485,67,-1,1,-1,1,0,0,0,train
486,68,1,1,1,1,1,-1,1,train
487,66,-2,1,-1,2,1,1,1,train
488,67,1,1,1,1,1,-1,2,train
489,68,1,1,1,1,1,1,1,train
490,68,0,0,0,0,1,1,1,train
491,66,-2,1,-1,2,0,0,0,train
492,66,0,0,0,0,1,-1,2,train
493,64,-2,1,-1,2,0,0,0,train
494,64,0,0,0,0,1,-1,2,train
495,63,-1,1,-1,1,0,0,0,train
496,63,0,0,0,0,1,-1,1,train
497,64,1,1,1,1,0,0,0,train
498,63,-1,1,-1,1,1,1,1,train
499,65,2,1,1,2,1,-1,1,train
500,65,0,0,0,0,1,1,2,train
501,65,0,0,0,0,0,0,0,train
502,67,2,1,1,2,0,0,0,train
503,63,-4,1,-1,4,1,1,2,train
504,63,0,0,0,0,1,-1,4,train
505,62,-1,1,-1,1,0,0,0,train
506,62,0,0,0,0,1,-1,1,train
507,63,1,1,1,1,0,0,0,train
508,62,-1,1,-1,1,1,1,1,train
509,62,0,0,0,0,1,-1,1,train
510,62,0,0,0,0,0,0,0,train
511,61,-1,1,-1,1,0,0,0,train
512,63,2,1,1,2,1,-1,1,train
513,63,0,0,0,0,1,1,2,train
514,63,0,0,0,0,0,0,0,train
515,63,0,0,0,0,0,0,0,train
516,63,0,0,0,0,0,0,0,train
517,62,-1,1,-1,1,0,0,0,train
518,63,1,1,1,1,1,-1,1,train
519,64,1,1,1,1,1,1,1,train
520,62,-2,1,-1,2,1,1,1,train
521,63,1,1,1,1,1,-1,2,train
522,62,-1,1,-1,1,1,1,1,train
523,61,-1,1,-1,1,1,-1,1,train
524,61,0,0,0,0,1,-1,1,train
525,59,-2,1,-1,2,0,0,0,train
526,59,0,0,0,0,1,-1,2,train
527,59,0,0,0,0,0,0,0,train
528,59,0,0,0,0,0,0,0,train
529,59,0,0,0,0,0,0,0,train
530,57,-2,1,-1,2,0,0,0,train
531,56,-1,1,-1,1,1,-1,2,train
532,57,1,1,1,1,1,-1,1,train
533,57,0,0,0,0,1,1,1,train
534,58,1,1,1,1,0,0,0,train
535,55,-3,1,-1,3,1,1,1,train
536,56,1,1,1,1,1,-1,3,train
537,55,-1,1,-1,1,1,1,1,train
538,56,1,1,1,1,1,-1,1,train
539,54,-2,1,-1,2,1,1,1,train
540,51,-3,1,-1,3,1,-1,2,train
541,52,1,1,1,1,1,-1,3,train
542,52,0,0,0,0,1,1,1,train
543,51,-1,1,-1,1,0,0,0,train
544,50,-1,1,-1,1,1,-1,1,train
545,50,0,0,0,0,1,-1,1,train
546,50,0,0,0,0,0,0,0,train
547,50,0,0,0,0,0,0,0,train
548,49,-1,1,-1,1,0,0,0,train
549,47,-2,1,-1,2,1,-1,1,train
550,49,2,1,1,2,1,-1,2,train
551,46,-3,1,-1,3,1,1,2,train
552,48,2,1,1,2,1,-1,3,train
553,48,0,0,0,0,1,1,2,train
554,49,1,1,1,1,0,0,0,train
555,49,0,0,0,0,1,1,1,train
556,44,-5,1,-1,5,0,0,0,train
557,45,1,1,1,1,1,-1,5,train
558,45,0,0,0,0,1,1,1,train
559,46,1,1,1,1,0,0,0,train
560,46,0,0,0,0,1,1,1,train
561,46,0,0,0,0,0,0,0,train
562,48,2,1,1,2,0,0,0,train
563,49,1,1,1,1,1,1,2,train
564,50,1,1,1,1,1,1,1,train
565,48,-2,1,-1,2,1,1,1,train
566,50,2,1,1,2,1,-1,2,train
567,49,-1,1,-1,1,1,1,2,train
568,49,0,0,0,0,1,-1,1,train
569,50,1,1,1,1,0,0,0,train
570,52,2,1,1,2,1,1,1,train
571,52,0,0,0,0,1,1,2,train
572,50,-2,1,-1,2,0,0,0,train
573,50,0,0,0,0,1,-1,2,train
574,50,0,0,0,0,0,0,0,train
575,50,0,0,0,0,0,0,0,train
576,47,-3,1,-1,3,0,0,0,train
577,48,1,1,1,1,1,-1,3,train
578,48,0,0,0,0,1,1,1,train
579,46,-2,1,-1,2,0,0,0,train
580,46,0,0,0,0,1,-1,2,train
581,43,-3,1,-1,3,0,0,0,train
582,42,-1,1,-1,1,1,-1,3,train
583,43,1,1,1,1,1,-1,1,train
584,44,1,1,1,1,1,1,1,train
585,43,-1,1,-1,1,1,1,1,train
586,44,1,1,1,1,1,-1,1,train
587,44,0,0,0,0,1,1,1,train
588,43,-1,1,-1,1,0,0,0,train
589,43,0,0,0,0,1,-1,1,train
590,43,0,0,0,0,0,0,0,train
591,43,0,0,0,0,0,0,0,train
592,43,0,0,0,0,0,0,0,train
593,43,0,0,0,0,0,0,0,train
594,41,-2,1,-1,2,0,0,0,train
595,41,0,0,0,0,1,-1,2,train
596,42,1,1,1,1,0,0,0,train
597,43,1,1,1,1,1,1,1,train
598,43,0,0,0,0,1,1,1,train
599,44,1,1,1,1,0,0,0,train
600,44,0,0,0,0,1,1,1,train
601,44,0,0,0,0,0,0,0,train
602,45,1,1,1,1,0,0,0,train
603,44,-1,1,-1,1,1,1,1,train
604,44,0,0,0,0,1,-1,1,train
605,43,-1,1,-1,1,0,0,0,train
606,43,0,0,0,0,1,-1,1,train
607,43,0,0,0,0,0,0,0,train
608,43,0,0,0,0,0,0,0,train
609,45,2,1,1,2,0,0,0,train
610,45,0,0,0,0,1,1,2,train
611,46,1,1,1,1,0,0,0,train
612,46,0,0,0,0,1,1,1,train
613,46,0,0,0,0,0,0,0,train
614,46,0,0,0,0,0,0,0,train
615,46,0,0,0,0,0,0,0,train
616,47,1,1,1,1,0,0,0,train
617,47,0,0,0,0,1,1,1,train
618,48,1,1,1,1,0,0,0,train
619,47,-1,1,-1,1,1,1,1,train
620,46,-1,1,-1,1,1,-1,1,train
621,48,2,1,1,2,1,-1,1,train
622,44,-4,1,-1,4,1,1,2,train
623,46,2,1,1,2,1,-1,4,train
624,45,-1,1,-1,1,1,1,2,train
625,46,1,1,1,1,1,-1,1,train
626,45,-1,1,-1,1,1,1,1,train
627,45,0,0,0,0,1,-1,1,train
628,44,-1,1,-1,1,0,0,0,train
629,45,1,1,1,1,1,-1,1,train
630,46,1,1,1,1,1,1,1,train
631,47,1,1,1,1,1,1,1,train
632,46,-1,1,-1,1,1,1,1,train
633,47,1,1,1,1,1,-1,1,train
634,47,0,0,0,0,1,1,1,train
635,48,1,1,1,1,0,0,0,train
636,48,0,0,0,0,1,1,1,train
637,48,0,0,0,0,0,0,0,train
638,48,0,0,0,0,0,0,0,train
639,48,0,0,0,0,0,0,0,train
640,47,-1,1,-1,1,0,0,0,train
641,48,1,1,1,1,1,-1,1,train
642,48,0,0,0,0,1,1,1,train
643,47,-1,1,-1,1,0,0,0,train
644,46,-1,1,-1,1,1,-1,1,train
645,46,0,0,0,0,1,-1,1,train
646,45,-1,1,-1,1,0,0,0,train
647,46,1,1,1,1,1,-1,1,train
648,48,2,1,1,2,1,1,1,train
649,39,-9,1,-1,9,1,1,2,train
650,41,2,1,1,2,1,-1,9,train
651,39,-2,1,-1,2,1,1,2,train
652,41,2,1,1,2,1,-1,2,train
653,42,1,1,1,1,1,1,2,train
654,42,0,0,0,0,1,1,1,train
655,42,0,0,0,0,0,0,0,train
656,43,1,1,1,1,0,0,0,train
657,47,4,1,1,4,1,1,1,train
658,46,-1,1,-1,1,1,1,4,train
659,47,1,1,1,1,1,-1,1,train
660,47,0,0,0,0,1,1,1,train
661,47,0,0,0,0,0,0,0,train
662,47,0,0,0,0,0,0,0,train
663,46,-1,1,-1,1,0,0,0,train
664,46,0,0,0,0,1,-1,1,train
665,47,1,1,1,1,0,0,0,train
