t,STK,MKT,split
73,4.6813,-0.0484,train
74,4.1137,-0.4631,train
75,3.3302,-0.0164,train
76,4.004,1.5437,train
77,2.3952,2.3328,train
78,2.2891,2.8399,train
79,2.5212,2.6129,train
80,2.7653,1.5408,train
81,2.8877,0.2859,train
82,3.3213,0.8738,train
83,3.9025,2.4383,train
84,4.9102,2.9653,train
85,5.9191,2.8746,train
86,6.477,2.5106,train
87,4.0214,0.355,train
88,2.1339,-0.6605,train
89,1.761,-0.0794,train
90,2.5042,-0.1659,train
91,2.3568,0.5965,train
92,2.9249,2.2949,train
93,3.062,3.8782,train
94,2.7029,1.3652,train
95,2.685,-0.6293,train
96,3.2093,-0.002,train
97,1.6183,-0.0664,train
98,2.4329,0.2243,train
99,2.4851,-0.2992,train
100,1.8036,-1.4366,train
101,1.4897,-1.7677,train
102,1.6487,0.2497,train
103,2.5858,1.4408,train
104,4.1189,2.3882,train
105,3.6341,1.9644,train
106,3.9859,1.4951,train
107,4.5139,0.7434,train
108,4.532,1.3385,train
109,4.175,1.1252,train
110,4.0987,0.3375,train
111,3.1573,0.6013,train
112,3.7207,1.9961,train
113,3.7987,2.1692,train
114,3.0906,1.538,train
115,2.3767,-0.1348,train
116,2.7039,-0.1274,train
117,2.5246,-0.4408,train
118,3.9742,1.154,train
119,3.2315,1.5439,train
120,3.0097,0.6808,train
121,2.3358,1.0631,train
122,1.9501,1.3266,train
123,1.7142,1.3132,train
124,2.5274,1.812,train
125,3.416,2.6532,train
126,4.414,2.035,train
127,6.1304,1.9193,train
128,5.1474,1.3148,train
129,5.0653,1.9017,train
130,3.6194,0.7773,train
131,4.0757,1.3106,train
132,4.2553,0.1599,train
133,3.9604,0.4681,train
134,2.4121,-1.2924,train
135,2.3462,0.0158,train
136,1.0414,-0.1825,train
137,2.5775,2.1622,train
138,3.3235,0.3188,train
139,3.6638,0.9773,train
140,5.8539,3.3986,train
141,6.7118,3.0196,train
142,4.6464,0.701,train
143,2.8375,-0.4586,train
144,3.1899,0.4856,train
145,1.2689,-0.3665,train
146,2.3278,1.2601,train
147,4.4391,1.3728,train
148,5.0397,1.0604,train
149,3.4152,-0.1072,train
150,1.0745,-2.176,train
151,1.0238,-1.3501,train
152,0.9174,0.6645,train
153,1.0084,1.4045,train
154,0.679,-0.2577,train
155,0.7776,-0.7981,train
156,0.9209,-0.2327,train
157,3.0608,0.3939,train
158,2.3339,0.5105,train
159,3.288,2.8117,train
160,2.682,2.4527,train
161,1.0326,0.754,train
162,0.215,-0.4129,train
163,-0.663,0.3402,train
164,0.9739,1.6518,train
165,1.2628,2.567,train
166,2.8883,2.3962,train
167,4.7836,2.7783,train
168,5.4331,3.1962,train
169,5.8891,2.8112,train
170,4.1825,0.508,train
171,3.881,0.1719,train
172,3.9246,-0.8541,train
173,3.1504,-0.8963,train
174,4.1336,0.408,train
175,3.481,0.6607,train
176,4.2509,3.5782,train
177,3.0284,3.9801,train
178,1.1845,2.9609,train
179,3.0969,3.7531,train
180,1.8088,0.963,train
181,3.6151,1.7066,train
182,5.1186,2.3362,train
183,5.2808,2.3102,train
184,4.1763,2.3468,train
185,6.0648,2.0811,train
186,5.0864,0.3134,train
187,3.2018,0.0042,train
188,3.1338,1.1423,train
189,3.4686,0.3721,train
190,3.3092,-0.5501,train
191,2.8565,0.3074,train
192,2.7345,1.9354,train
193,3.054,2.8073,train
194,6.2783,4.3611,train
195,5.0485,1.5344,train
196,4.0258,1.3452,train
197,3.215,1.7175,train
198,2.7011,1.0286,train
199,2.542,2.4702,train
200,3.6797,1.5186,train
201,4.001,2.4345,train
202,3.8297,4.212,train
203,4.2809,3.6044,train
204,4.243,2.148,train
205,3.8858,1.9637,train
206,4.8875,1.9777,train
207,5.4539,0.8226,train
208,5.0043,1.2856,train
209,4.2043,0.6511,train
210,4.4491,1.8576,train
211,5.3966,2.9419,train
212,7.0668,3.0164,train
213,7.1805,1.1944,train
214,6.0728,0.8943,train
215,7.0221,3.2044,train
216,7.6834,2.5892,train
217,6.5408,1.777,train
218,4.0279,0.4487,train
219,3.993,0.7958,train
220,2.9597,2.2399,train
221,3.2293,2.2455,train
222,2.3922,1.8661,train
223,2.1262,0.9858,train
224,1.8892,1.6249,train
225,0.2834,-0.2566,train
226,1.535,0.544,train
227,2.744,0.9795,train
228,3.5661,0.6137,train
229,2.9167,0.2051,train
230,2.1376,0.5957,train
231,2.2213,0.27,train
232,1.335,1.4008,train
233,0.5023,1.0976,train
234,-0.1604,-0.8551,train
235,0.7393,1.0936,train
236,3.0789,1.917,train
237,2.9802,1.801,train
238,4.1972,1.4922,train
239,3.7412,2.2189,train
240,2.5082,2.2239,train
241,1.9561,1.7316,train
242,0.9959,1.1354,train
243,0.3663,-0.5539,train
244,0.4651,0.5931,train
245,1.4013,1.2724,train
246,3.0456,1.077,train
247,4.5802,0.4397,train
248,6.4715,2.0087,train
249,6.1366,0.0529,train
250,5.2113,-0.0184,train
251,4.8763,-0.0725,train
252,6.038,1.0236,train
253,5.7823,0.9369,train
254,7.4285,1.6738,train
255,6.8876,2.5447,train
256,8.0504,3.3521,train
257,6.9264,2.1456,train
258,5.7463,2.1284,train
259,5.0327,0.9566,train
260,4.606,1.0135,train
261,3.542,1.7301,train
262,4.6014,0.2529,train
263,5.3096,1.2229,train
264,6.1943,3.0007,train
265,7.5283,4.4111,train
266,6.0624,2.4657,train
267,4.4559,1.7493,train
268,3.501,0.5477,train
269,3.851,2.098,train
270,3.8738,1.6612,train
271,3.165,0.7527,train
272,2.9872,1.0274,train
273,3.8222,1.6888,train
274,2.0299,1.5005,train
275,5.0121,2.1678,train
276,4.3566,2.4465,train
277,5.4071,3.103,train
278,7.6541,5.1506,train
279,8.2127,6.6616,train
280,5.6641,4.7829,train
281,3.7537,1.7666,train
282,3.2859,0.6463,train
283,3.112,2.7076,train
284,3.5395,2.2969,train
285,3.3666,1.1873,train
286,1.5021,1.9116,train
287,0.7817,3.0366,train
288,0.2883,0.9839,train
289,0.4143,0.627,train
290,1.9107,0.1777,train
291,1.1229,-0.4835,train
292,1.4073,0.5576,train
293,-0.0343,1.2253,train
294,0.3484,1.5178,train
295,2.037,0.8273,train
296,3.7623,2.8031,train
297,4.4188,2.0955,train
298,3.9519,1.3739,train
299,3.7233,2.2292,train
300,2.8572,1.3442,train
301,3.2437,1.2919,train
302,3.2067,0.3894,train
303,2.6805,0.2205,train
304,3.7067,1.054,train
305,5.3298,2.5955,train
306,5.4699,2.7624,train
307,5.1916,1.8447,train
308,4.0738,2.2382,train
309,2.9044,2.4912,train
310,2.2843,1.7783,train
311,3.3348,2.8953,train
312,4.1258,1.8894,train
313,3.061,0.0978,train
314,3.4616,-0.2896,train
315,4.3639,0.6634,train
316,2.3583,-0.4648,train
317,2.3536,-0.7152,train
318,2.769,0.4957,train
319,0.5208,-2.119,train
320,-0.4495,-3.3411,train
321,0.2603,-1.6652,train
322,0.0882,-0.5549,train
323,1.0653,-1.4097,train
324,0.7628,-1.5254,train
325,2.417,0.0497,train
326,4.2612,0.1586,train
327,2.9939,0.2795,train
328,1.872,1.5467,train
329,2.9361,1.0618,train
330,2.1033,1.01,train
331,2.3186,1.5749,train
332,1.668,1.1372,train
333,0.4255,0.5718,train
334,1.4277,0.2694,train
335,1.5431,3.0537,train
336,2.17,2.9925,train
337,2.0192,2.0535,train
338,2.48,1.8889,train
339,4.2065,2.693,train
340,7.1,3.0674,train
341,6.1801,2.7533,train
342,4.1789,2.3735,train
343,2.5054,1.2963,train
344,4.6097,2.1826,train
345,5.405,3.9176,train
346,5.6246,2.9913,train
347,5.2617,3.4357,train
348,6.3329,4.8072,train
349,6.3794,3.0827,train
350,6.1428,0.7501,train
351,3.8424,-0.7967,train
352,2.7568,0.1798,train
353,0.2819,1.1738,train
354,0.3584,1.899,train
355,3.2654,3.0249,train
356,6.0883,3.1133,train
357,5.0095,1.7867,train
358,3.285,2.2233,train
359,1.0278,1.3947,train
360,1.6167,1.6092,train
361,2.023,0.5814,train
362,2.2433,-1.0561,train
363,1.1581,-1.5253,train
364,-0.014,-1.6919,train
365,0.8455,-2.6075,train
366,0.5366,-3.2922,train
367,0.8222,-0.797,train
368,1.3265,-0.9848,train
369,1.191,-1.4068,train
370,1.3654,0.5069,train
371,1.234,2.3126,train
372,2.3499,3.5022,train
373,2.8564,1.2655,train
374,6.0603,2.255,train
375,5.3159,0.468,train
376,2.1003,0.4338,train
377,1.7036,1.0038,train
378,1.6117,1.1137,train
379,3.1341,0.8657,train
380,3.1863,-0.7954,train
381,1.4456,-1.6326,train
382,1.3275,1.3332,train
383,2.3698,2.3815,train
384,3.2272,2.8429,train
385,3.2646,1.2145,train
386,2.6752,0.5173,train
387,3.1722,1.567,train
388,3.6957,1.6329,train
389,4.5225,2.0993,train
390,6.0076,2.1617,train
391,6.0687,1.7059,train
392,4.7529,2.1161,train
393,4.5541,1.7891,train
394,4.2393,0.8679,train
395,4.7032,1.5205,train
396,5.0467,1.9591,train
397,5.8023,3.5262,train
398,4.8577,2.0988,train
399,4.3415,0.756,train
400,3.7874,1.5697,train
401,2.8867,0.4632,train
402,2.968,1.262,train
403,2.9555,0.529,train
404,3.5191,0.659,train
405,3.0207,0.8072,train
406,3.4748,0.7263,train
407,3.7098,1.3515,train
408,2.6593,0.9248,train
409,2.2003,0.5328,train
410,3.1891,1.9836,train
411,3.7704,3.193,train
412,2.9809,2.7121,train
413,2.5462,1.2776,train
414,4.344,2.5866,train
415,5.9979,4.4173,train
416,3.6629,3.1067,train
417,2.1734,2.3528,train
418,5.0105,3.1188,train
419,3.6062,1.8722,train
420,2.9884,2.6989,train
421,5.5124,3.4425,train
422,4.6881,1.1511,train
423,2.5561,-1.2492,train
424,1.6337,-0.5138,train
425,0.5499,-0.3853,train
426,3.918,0.0855,train
427,5.2618,1.086,train
428,4.4136,1.6518,train
429,3.5421,0.471,train
430,3.5638,0.5054,train
431,3.9496,0.1413,train
432,2.643,1.2797,train
433,2.2561,1.9544,train
434,2.1569,1.4363,train
435,2.5172,0.4442,train
436,3.4462,1.9642,train
437,3.9008,3.0795,train
438,4.8157,2.6891,train
439,4.9786,1.1114,train
440,4.7447,0.9989,train
441,5.5417,0.7985,train
442,3.8943,0.7351,train
443,1.259,0.0609,train
444,2.0532,-0.6033,train
445,3.1004,0.394,train
446,4.2278,0.6541,train
447,3.641,-0.1787,train
448,2.1835,0.438,train
449,2.8214,2.8425,train
450,4.6761,2.0641,train
451,5.0261,2.0078,train
452,5.6857,2.0686,train
453,3.7747,0.3611,train
454,2.0301,-0.0175,train
455,2.8719,2.0144,train
456,3.4864,2.3836,train
457,4.2465,1.7978,train
458,4.9806,3.4486,train
459,3.7919,3.4601,train
460,4.5947,3.8638,train
461,6.1,6.6639,train
462,6.0374,5.1517,train
463,4.7358,2.6032,train
464,5.0457,1.6941,train
465,3.9932,0.3784,train
466,1.8958,1.8479,train
467,2.1866,1.1173,train
468,2.8769,1.1947,train
469,2.7151,0.8316,train
470,3.2577,0.1971,train
471,3.4096,-0.2503,train
472,2.1487,0.1111,train
473,1.0333,-0.3575,train
474,1.4137,1.036,train
475,1.7176,1.7978,train
476,0.8803,-0.0466,train
477,2.9836,1.0039,train
478,3.2412,0.2286,train
479,2.7213,0.3986,train
480,2.3882,1.0698,train
481,2.3215,0.3009,train
482,5.2003,1.6266,train
483,5.3282,2.0344,train
484,4.6137,3.7454,train
485,4.6653,4.0074,train
486,5.0484,4.4116,train
487,6.6048,4.1062,train
488,5.3458,2.7741,train
489,2.5561,1.0504,train
490,3.3219,1.5515,train
491,2.8388,3.017,train
492,3.6616,2.0952,train
493,2.4939,-0.3136,train
494,3.2095,0.1975,train
495,4.0249,1.1332,train
496,4.4714,0.9522,train
497,5.8145,1.4525,train
498,5.3002,1.6879,train
499,5.3064,1.7289,train
500,4.4268,1.1633,train
501,6.2222,0.5132,train
502,6.5173,1.1311,train
503,4.2664,-0.3305,train
504,2.7038,-1.5434,train
505,1.9885,-0.5755,train
506,2.1252,-1.14,train
507,0.9912,0.3993,train
508,-0.2445,-0.2622,train
509,2.0315,0.1219,train
510,2.7593,1.5202,train
511,4.2411,2.7924,train
512,4.0305,0.1095,train
513,3.1156,-0.0942,train
514,2.2805,-0.0003,train
515,2.8693,0.1235,train
516,1.5566,-0.5492,train
517,1.5283,0.5112,train
518,1.7906,0.873,train
519,1.2111,-0.0106,train
520,0.9077,-0.8157,train
521,0.9784,0.8715,train
522,1.0,1.0241,train
523,-0.1604,0.2681,train
524,1.6565,1.1705,train
525,3.0985,1.9753,train
526,4.5877,2.1944,train
527,4.5923,2.4974,train
528,3.7208,1.3978,train
529,3.1386,1.0197,train
530,2.7004,2.0646,train
531,2.6722,1.1717,train
532,4.3517,2.5278,train
533,6.3302,3.9234,train
534,5.1471,3.9107,train
535,5.4416,2.3974,train
536,4.9596,0.1876,train
537,4.3599,-0.6672,train
538,4.1731,-1.8632,train
539,4.6552,0.9028,train
540,4.3171,0.4751,train
541,3.0481,0.5252,train
542,-0.1721,-0.0262,train
543,-1.6212,-1.0497,train
544,-1.2761,-0.8448,train
545,0.2556,-0.3776,train
546,1.3798,-1.091,train
547,1.778,-1.6634,train
548,1.7245,-0.9604,train
549,1.7856,-0.0865,train
550,1.7663,0.8604,train
551,1.2725,0.5509,train
552,1.4642,1.1188,train
553,1.7176,0.5679,train
554,3.6971,0.8775,train
555,2.4757,1.6674,train
556,1.7392,1.2594,train
557,2.0526,0.8065,train
558,1.9893,-0.9302,train
559,2.24,1.4403,train
560,3.1518,2.4137,train
561,3.2312,0.6328,train
562,2.2631,-0.781,train
563,0.7696,0.3258,train
564,0.8955,0.1673,train
565,1.5504,1.649,train
566,2.7056,3.023,train
567,2.6494,0.842,train
568,2.972,0.8259,train
569,3.858,0.3105,train
570,3.5882,1.7307,train
571,1.7473,0.682,train
572,1.5629,-0.5911,train
573,2.8632,0.1977,train
574,1.7342,-0.7212,train
575,0.841,0.8427,train
576,0.831,0.5046,train
577,3.0282,1.497,train
578,5.8855,2.2752,train
579,4.0699,2.2125,train
580,2.7248,1.4977,train
581,2.7263,0.5739,train
582,3.6159,0.3556,train
583,4.0758,0.6087,train
584,4.4221,2.7733,train
585,4.4121,2.3107,train
586,7.1056,4.6489,train
587,6.8143,4.5238,train
588,6.4972,3.0946,train
589,5.0247,1.8219,train
590,3.0744,2.1597,train
591,4.5054,2.0437,train
592,4.2552,0.2476,train
593,4.9894,1.0083,train
594,3.5643,0.4445,train
595,4.0271,1.323,train
596,5.192,0.1312,train
597,5.2666,0.8093,train
598,4.8003,1.5872,train
599,3.8595,1.06,train
600,2.719,-0.5989,train
601,4.1103,-0.1105,train
602,3.5093,-2.4281,train
603,3.5465,-1.4421,train
604,2.4609,-0.665,train
605,1.8879,-0.7795,train
606,1.2671,-0.0814,train
607,2.4198,1.9247,train
608,3.1141,3.029,train
609,4.5798,4.097,train
610,5.9039,2.3559,train
611,5.8049,1.9248,train
612,6.5221,2.0484,train
613,6.5141,2.1364,train
614,4.0564,0.5413,train
615,2.1683,1.7494,train
616,2.5669,3.1276,train
617,3.7553,3.2815,train
618,5.3764,2.6324,train
619,4.3585,0.7202,train
620,4.7651,1.1762,train
621,3.7074,-0.1689,train
622,2.6269,0.078,train
623,2.4027,0.1145,train
624,1.5941,-0.4428,train
625,3.1802,2.9386,train
626,3.9721,4.4154,train
627,4.4769,2.2118,train
628,4.2308,0.1401,train
629,4.0886,0.5181,train
630,1.6161,-1.034,train
631,3.0607,-0.1647,train
632,3.5926,0.3019,train
633,2.5122,0.4029,train
634,1.7943,-0.1989,train
635,1.8507,-1.6609,train
636,0.1913,-3.4613,train
637,1.1469,-1.0666,train
638,1.643,0.5949,train
639,2.7632,-0.9234,train
640,1.1551,-1.3782,train
641,1.7202,0.5837,train
642,0.8646,0.2779,train
643,1.9945,0.7172,train
644,1.8991,0.0231,train
645,3.0652,-0.5002,train
646,2.5821,0.475,train
647,1.4801,-2.0504,train
648,1.9624,-1.5899,train
649,0.3378,-2.3923,train
650,0.8727,-0.3715,train
651,0.2469,0.3708,train
652,0.4318,0.4184,train
653,2.0296,-0.3583,train
654,2.0109,2.3712,train
655,0.7532,1.8758,train
656,0.3333,1.4288,train
657,1.4918,0.7928,train
658,2.3045,1.177,train
659,3.8164,2.2413,train
660,5.4893,2.8357,train
661,6.5242,3.1604,train
662,6.1697,2.96,train
663,5.9743,2.5578,train
664,4.3704,1.1804,train
665,4.874,1.5626,train
666,3.8665,0.7327,train
667,4.5681,0.0345,train
668,2.7762,-1.0909,train
669,1.1135,-0.1344,train
670,1.4328,1.1932,train
671,1.7458,1.7407,train
672,2.0798,0.5618,train
673,1.652,0.588,train
674,2.3028,0.5304,train
675,3.7465,1.5446,train
676,3.5055,0.3071,train
677,4.673,1.2595,train
678,5.3039,1.0491,train
679,5.1205,1.8034,train
680,4.6648,1.7574,train
681,3.1027,1.8973,train
682,3.5183,1.3993,train
683,2.0095,1.1698,train
684,0.7054,0.3094,train
685,1.0663,2.2442,train
686,2.2095,3.8577,train
687,3.4864,2.4547,train
688,5.1486,3.9843,test
689,4.642,2.6021,test
690,5.5789,3.9118,test
691,5.0143,2.4471,test
692,4.4592,1.1735,test
693,3.304,1.0867,test
694,2.8432,0.6132,test
695,3.6089,-0.4132,test
696,5.0874,2.1888,test
697,5.3881,2.1533,test
698,4.1302,0.3731,test
699,3.9808,0.2409,test
