t,STK,MKT,split
304,1.3968,1.9455,train
305,1.817,-0.6841,train
306,-0.7281,-1.8588,train
307,0.9805,2.2693,train
308,2.3793,0.966,train
309,1.4394,-0.164,train
310,1.0068,0.8115,train
311,0.1257,-1.3453,train
312,1.952,-0.1587,train
313,0.636,0.666,train
314,1.1785,0.4751,train
315,1.3939,0.7555,train
316,-0.3675,-0.5486,train
317,-0.3841,0.3159,train
318,2.6716,1.6065,train
319,0.8465,1.3121,train
320,0.1276,-0.0734,train
321,1.5579,0.1346,train
322,1.42,-0.0585,train
323,0.3728,1.0088,train
324,-0.0334,-0.3783,train
325,1.8697,1.8988,train
326,0.1178,0.37,train
327,1.2655,0.3074,train
328,0.5758,0.9257,train
329,0.6868,0.229,train
330,1.696,1.3836,train
331,0.021,0.3102,train
332,1.5946,1.7104,train
333,1.0182,-0.6767,train
334,0.9117,0.4624,train
335,0.7644,-0.5683,train
336,-1.3574,-1.3448,train
337,0.7494,1.4941,train
338,0.9991,-0.5245,train
339,0.6961,0.8634,train
340,3.8239,2.9905,train
341,0.5457,-1.668,train
342,0.3728,0.6075,train
343,1.5297,2.7492,train
344,1.2841,-2.092,train
345,0.387,-0.3215,train
346,1.4366,2.4748,train
347,1.3232,-1.1736,train
348,0.3141,1.9061,train
349,0.3707,-0.9019,train
350,1.45,1.4619,train
351,1.1169,0.6092,train
352,1.267,-0.0335,train
353,0.6931,0.8636,train
354,0.0105,0.0406,train
355,1.5299,1.0994,train
356,1.4336,-0.4139,train
357,-0.6527,0.3812,train
358,1.3548,0.6768,train
359,0.5153,-0.8931,train
360,1.1328,1.0747,train
361,1.4858,1.7438,train
362,2.1604,1.4006,train
363,-0.0857,-2.3697,train
364,0.1703,0.0645,train
365,-0.4224,0.9447,train
366,0.0154,0.5155,train
367,2.8888,3.3513,train
368,2.3391,1.6871,train
369,0.5332,-1.3508,train
370,2.0181,0.2091,train
371,1.4496,1.0863,train
372,-1.4415,0.9803,train
373,1.0422,1.8489,train
374,0.5586,-1.617,train
375,1.5038,1.2007,train
376,-0.657,-0.2495,train
377,1.7608,1.2597,train
378,-0.5599,-1.0275,train
379,1.2928,1.6695,train
380,1.4061,0.0199,train
381,0.4221,1.6335,train
382,0.7041,-0.0761,train
383,-0.8099,0.9437,train
384,2.6541,-0.954,train
385,0.9824,2.5174,train
386,1.9615,0.3681,train
387,1.5743,0.0857,train
388,0.2527,0.1479,train
389,1.0674,-0.195,train
390,2.0751,1.4229,train
391,-0.5974,-0.4643,train
392,1.6817,1.0091,train
393,1.9793,0.6479,train
394,-0.2525,0.4484,train
395,2.674,0.2791,train
396,-1.29,-0.7766,train
397,1.3067,0.1057,train
398,0.9151,0.1989,train
399,1.6033,0.1773,train
400,-0.5427,0.3289,train
401,2.003,1.7832,train
402,0.303,-0.2933,train
403,1.7726,2.1237,train
404,0.2773,-1.6389,train
405,1.457,1.1204,train
406,2.0984,1.1723,train
407,0.8443,-0.3096,train
408,0.9464,1.8921,train
409,0.9568,-1.1501,train
410,1.6454,1.122,train
411,0.6492,-0.1757,train
412,1.7195,0.5458,train
413,-0.0234,0.3186,train
414,0.9509,-1.4657,train
415,0.9394,0.5252,train
416,0.7709,0.5835,train
417,0.6655,-0.1328,train
418,-0.2299,0.3544,train
419,1.6045,1.6259,train
420,1.7041,-0.2493,train
421,1.7759,3.1093,train
422,1.8596,-0.3239,train
423,-0.2896,-0.0046,train
424,-0.0976,0.6109,train
425,1.3048,-0.1975,train
426,1.2168,-0.1931,train
427,-1.1774,-0.3937,train
428,2.6854,0.8488,train
429,1.1974,-0.6301,train
430,0.126,1.3472,train
431,2.9128,-0.3204,train
432,-0.1752,-0.0906,train
433,1.0638,0.4753,train
434,0.8229,0.0009,train
435,0.185,0.7836,train
436,2.7575,1.371,train
437,0.6246,-0.2372,train
438,2.3829,-0.2814,train
439,-2.0735,-0.8392,train
440,1.9037,2.1788,train
441,1.6286,0.991,train
442,1.13,-0.2243,train
443,-0.2668,0.4606,train
444,0.511,0.4197,train
445,2.1493,0.3535,train
446,0.1049,-0.1595,train
447,1.6655,1.2276,train
448,0.1059,0.1804,train
449,2.7737,1.5076,train
450,0.6429,-0.2064,train
451,-0.1035,0.1262,train
452,1.3618,0.4242,train
453,2.0443,0.9541,train
454,0.3401,0.4064,train
455,1.6057,-0.8388,train
456,0.5857,2.1962,train
457,0.0975,-0.2265,train
458,0.9562,-0.5414,train
459,1.1572,0.9627,train
460,-1.2091,-1.0792,train
461,2.3534,0.9918,train
462,-0.1982,-0.1689,train
463,0.6978,1.1711,train
464,0.4787,-1.113,train
465,1.3986,2.1158,train
466,1.7778,1.1212,train
467,0.3076,-1.5323,train
468,0.1287,0.7485,train
469,-0.4642,-0.4706,train
470,2.0682,0.6187,train
471,2.5697,2.2338,train
472,-0.7179,-1.7396,train
473,0.4134,1.3711,train
474,1.8714,0.132,train
475,0.8458,1.3544,train
476,1.648,-0.9399,train
477,-0.6862,-0.3901,train
478,-0.5863,0.8941,train
479,1.1659,-0.3471,train
480,0.2096,0.6815,train
481,1.9115,1.4056,train
482,2.1855,-0.044,train
483,1.9246,3.4896,train
484,0.5346,-1.2564,train
485,1.6733,2.0768,train
486,0.8294,-0.8818,train
487,2.933,1.4188,train
488,-2.5821,-0.6499,train
489,3.0678,2.8136,train
490,2.8437,3.2465,train
491,0.6209,-2.0451,train
492,-0.5133,1.693,train
493,1.5073,-1.4708,train
494,-1.3395,0.2442,train
495,1.3149,0.9166,train
496,0.3699,-0.5917,train
497,1.5688,0.9787,train
498,1.3528,0.6468,train
499,0.4731,0.5919,train
500,0.8602,0.4158,train
501,1.5982,0.2788,train
502,0.5869,0.6104,train
503,1.7284,1.0188,train
504,1.0639,0.7995,train
505,0.7158,0.4356,train
506,0.4587,-1.5085,train
507,1.1834,-0.2173,train
508,0.1869,2.329,train
509,2.1589,-0.5256,train
510,1.2065,1.2686,train
511,-0.0371,-0.2389,train
512,0.7242,0.1565,train
513,1.4257,-0.4657,train
514,1.3145,3.1118,train
515,1.0594,-1.2844,train
516,0.3905,1.7131,train
517,0.9516,0.3137,train
518,3.5628,0.9455,train
519,0.1168,-0.1474,train
520,0.4482,0.5946,train
521,0.4179,0.5542,train
522,1.5534,1.5855,train
523,1.924,0.7362,train
524,2.3563,0.815,train
525,1.0617,0.0372,train
526,2.0477,0.6958,train
527,1.3003,0.3512,train
528,0.7187,-0.2232,train
529,-0.0788,-0.3404,train
530,1.4964,1.6891,train
531,1.7801,0.9964,train
532,0.6885,0.7373,train
533,2.8508,0.8211,train
534,-0.3102,0.5019,train
535,3.5099,1.4699,train
536,0.0255,-0.8305,train
537,0.2194,-0.1789,train
538,0.1363,1.4763,train
539,2.9598,1.13,train
540,0.783,1.0601,train
541,1.298,0.3982,train
542,1.7227,0.8199,train
543,2.1712,3.9258,train
544,1.5036,-0.5246,train
545,0.3657,-0.2882,train
546,1.3783,1.3322,train
547,1.0098,-0.6748,train
548,1.2622,0.7916,train
549,1.2533,0.7279,train
550,0.7947,0.4733,train
551,-0.9625,0.6727,train
552,1.2745,0.4631,train
553,2.081,0.4552,train
554,-0.5668,0.5154,train
555,0.7927,0.1338,train
556,1.8842,0.6393,train
557,-0.8738,-0.763,train
558,2.0278,0.7198,train
559,1.5947,-0.1123,train
560,-0.5593,-1.0505,train
561,0.0247,2.2019,train
562,2.3706,0.2863,train
563,0.1817,1.2151,train
564,1.4569,-0.6321,train
565,2.3872,0.5547,train
566,0.3645,1.3406,train
567,2.1123,2.4648,train
568,2.0582,-0.5115,train
569,1.7184,1.4447,train
570,-0.4953,-1.335,train
571,0.376,-1.1217,train
572,1.1857,2.1327,train
573,1.511,-0.2255,train
574,0.5883,1.7116,train
575,1.7285,0.1834,train
576,0.1142,0.0871,train
577,2.5391,1.3368,train
578,2.8658,3.4887,train
579,1.5604,-1.8246,train
580,0.0914,1.9085,train
581,0.8815,-0.7463,train
582,1.0563,3.1918,train
583,1.2313,-2.3358,train
584,0.9614,1.767,train
585,1.7587,0.7523,train
586,1.1164,0.1042,train
587,1.7297,1.0614,train
588,1.1849,-0.054,train
589,2.0283,1.568,train
590,0.1584,-0.0293,test
591,0.0711,-0.4931,test
592,2.0613,1.8722,test
593,1.7141,1.165,test
594,0.6214,0.0441,test
595,3.0197,1.3762,test
596,-1.2177,-0.6186,test
597,1.1143,0.5057,test
598,1.1272,-0.2747,test
599,1.1327,0.903,test
